naics_code_2022,naics_title_2022,status_code,naics_codes_2017,naics_titles_2017
513120,Periodical Publishers,N,511120|519130,Periodical Publishers|Internet Publishing and Broadcasting and Web Search Portals - Internet periodical publishers
513130,Book Publishers,N,511130|519130,Book Publishers|Internet Publishing and Broadcasting and Web Search Portals - Internet book publishers
513140,Directory and Mailing List Publishers,N,511140|519130,Directory and Mailing List Publishers|Internet Publishing and Broadcasting and Web Search Portals - Internet directory and mailing list publishers
513191,Greeting Card Publishers,N,511191|519130,Greeting Card Publishers|Internet Publishing and Broadcasting and Web Search Portals - Internet greeting card publishers
513199,All Other Publishers,N,511199|519130,All Other Publishers|Internet Publishing and Broadcasting and Web Search Portals - all other Internet publishers
513210,Software Publishers,N,511210,Software Publishers
516110,Radio Broadcasting Stations,N,515112,Radio Stations
516120,Television Broadcasting Stations,N,515120,Television Broadcasting - television broadcasting stations
516210,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",N,515111|515120|515210|519110|519130,Radio Networks|Television Broadcasting - television networks|Cable and Other Subscription Programming|News Syndicates|Internet Publishing and Broadcasting and Web Search Portals - Internet broadcasting
517111,Wired Telecommunications Carriers,N,517311,Wired Telecommunications Carriers
517112,Wireless Telecommunications Carriers (except Satellite),N,517312,Wireless Telecommunications Carriers (except Satellite) - except agents for wireless telecommunications carriers
517121,Telecommunications Resellers,N,517911,Telecommunications Resellers - except agents for wireless telecommunications resellers
517122,Agents for Wireless Telecommunications Services,N,517312|517911,Wireless Telecommunications Carriers (except Satellite) - agents for wireless telecommunications carriers|Telecommunications Resellers - agents for wireless telecommunications resellers
517810,All Other Telecommunications,N,517919,All Other Telecommunications
000519,"Web Search Portals, Libraries, Archives, and Other Information Services",R,519,Other Information Services - except news syndicates and Internet publishing and broadcasting
519210,Libraries and Archives,N,519120,Libraries and Archives
519290,Web Search Portals and All Other Information Services,N,519130|519190,Internet Publishing and Broadcasting and Web Search Portals - web search portals|All Other Information Services
522180,Savings Institutions and Other Depository Credit Intermediation,N,522120|522190,Savings Institutions|Other Depository Credit Intermediation
522299,"International, Secondary Market, and All Other Nondepository Credit Intermediation",N,522293|522294|522298,International Trade Financing|Secondary Market Financing|All Other Nondepository Credit Intermediation
523150,Investment Banking and Securities Intermediation,N,523110|523120,Investment Banking and Securities Dealing|Securities Brokerage
523160,Commodity Contracts Intermediation,N,523130|523140,Commodity Contracts Dealing|Commodity Contracts Brokerage
523940,Portfolio Management and Investment Advice,N,523920|523930,Portfolio Management|Investment Advice
811114,Specialized Automotive Repair,N,811112|811113|811118,Automotive Exhaust System Repair|Automotive Transmission Repair|Other Automotive Mechanical and Electrical Repair and Maintenance
811210,Electronic and Precision Equipment Repair and Maintenance,N,811211|811212|811213|811219,Consumer Electronics Repair and Maintenance|Computer and Office Machine Repair and Maintenance|Communication Equipment Repair and Maintenance|Other Electronic and Precision Equipment Repair and Maintenance
