naics_code_2022,naics_title_2022,cbp_mapping_type,cbp_source_naics_2017_codes,cbp_establishments_2022,cbp_employment_2022,cbp_annual_payroll_usd_2022,cbp_average_annual_pay_usd_2022
311351,Chocolate and Confectionery Manufacturing from Cacao Beans,direct,311351,280,11908,757040000,63574.07
311352,Confectionery Manufacturing from Purchased Chocolate,direct,311352,998,32664,1543784000,47262.55
311411,"Frozen Fruit, Juice and Vegetable Manufacturing",direct,311411,214,28070,1506299000,53662.24
311412,Frozen Specialty Food Manufacturing,direct,311412,552,60915,3147693000,51673.53
311421,Fruit and Vegetable Canning,direct,311421,811,47466,2980729000,62797.14
311422,Specialty Canning,direct,311422,118,9633,629425000,65340.5
311423,Dried and Dehydrated Food Manufacturing,direct,311423,268,17286,959873000,55528.93
311511,Fluid Milk Manufacturing,direct,311511,421,57058,3652448000,64012.9
311512,Creamery Butter Manufacturing,direct,311512,57,4075,279310000,68542.33
311513,Cheese Manufacturing,direct,311513,579,60219,3756174000,62375.23
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",direct,311514,175,17843,1238625000,69417.98
311520,Ice Cream and Frozen Dessert Manufacturing,direct,311520,488,23400,1278814000,54650.17
311611,Animal (except Poultry) Slaughtering,direct,311611,1311,162918,9235124000,56685.72
311612,Meat Processed from Carcasses,direct,311612,1636,130494,7226542000,55378.35
311613,Rendering and Meat Byproduct Processing,direct,311613,197,11196,710779000,63485.08
311615,Poultry Processing,direct,311615,519,229548,10071345000,43874.68
311710,Seafood Product Preparation and Packaging,direct,311710,528,29146,1667486000,57211.49
311811,Retail Bakeries,direct,311811,8979,93603,2900219000,30984.25
311812,Commercial Bakeries,direct,311812,2745,113039,5788234000,51205.64
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",direct,311813,228,22444,1103959000,49187.27
311821,Cookie and Cracker Manufacturing,direct,311821,439,31632,1572064000,49698.53
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",direct,311824,390,23332,1361903000,58370.61
311830,Tortilla Manufacturing,direct,311830,429,20682,945101000,45696.79
311911,Roasted Nuts and Peanut Butter Manufacturing,direct,311911,267,18867,1131768000,59986.64
311919,Other Snack Food Manufacturing,direct,311919,484,48507,2424776000,49988.17
311920,Coffee and Tea Manufacturing,direct,311920,1090,22372,1269646000,56751.56
311930,Flavoring Syrup and Concentrate Manufacturing,direct,311930,170,8621,657418000,76257.74
311941,"Mayonnaise, Dressing and Other Prepared Sauce Manufacturing",direct,311941,402,23972,1442271000,60164.82
311942,Spice and Extract Manufacturing,direct,311942,471,23128,1678230000,72562.69
311991,Perishable Prepared Food Manufacturing,direct,311991,955,74259,3365824000,45325.47
311999,All Other Miscellaneous Food Manufacturing,direct,311999,860,31981,1922155000,60103.03
312111,Soft Drink Manufacturing,direct,312111,610,67219,4329511000,64409.04
312112,Bottled Water Manufacturing,direct,312112,293,11912,769116000,64566.49
312113,Ice Manufacturing,direct,312113,397,5492,303887000,55332.67
312120,Breweries,direct,312120,5165,95186,4223849000,44374.69
312130,Wineries,direct,312130,4494,65192,3691497000,56625.0
312140,Distilleries,direct,312140,1281,23736,1587357000,66875.51
312230,Tobacco Manufacturing,direct,312230,133,11784,965285000,81914.88
313110,"Fiber, Yarn, and Thread Mills",direct,313110,262,20713,876506000,42316.71
313210,Broadwoven Fabric Mills,direct,313210,260,13806,635592000,46037.38
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,direct,313220,174,5173,244986000,47358.59
313230,Nonwoven Fabric Mills,direct,313230,229,16609,1024830000,61703.29
313240,Knit Fabric Mills,direct,313240,109,5278,250445000,47450.74
313310,Textile and Fabric Finishing Mills,direct,313310,599,15084,754420000,50014.58
313320,Fabric Coating Mills,direct,313320,153,7077,449949000,63579.06
314110,Carpet and Rug Mills,direct,314110,225,27178,1353129000,49787.66
314120,Curtain and Linen Mills,direct,314120,1146,20783,785661000,37803.06
314910,Textile Bag and Canvas Mills,direct,314910,1389,22624,1096130000,48449.88
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",direct,314994,130,6371,367458000,57676.66
314999,All Other Miscellaneous Textile Product Mills,direct,314999,2316,28743,1151859000,40074.42
315120,Apparel Knitting Mills,aggregated_2017_to_2022,315110|315190,196,8915,333031000,37356.25
315210,Cut and Sew Apparel Contractors,direct,315210,2316,24661,834865000,33853.66
315250,Cut and Sew Apparel Manufacturing (except Contractors),aggregated_2017_to_2022,315220|315240|315280,1508,27646,1212984000,43875.57
315990,Apparel Accessories and Other Apparel Manufacturing,direct,315990,713,9093,404117000,44442.65
316110,Leather and Hide Tanning and Finishing,direct,316110,167,3121,171261000,54873.76
316210,Footwear Manufacturing,direct,316210,224,9950,459243000,46155.08
316990,Other Leather and Allied Product Manufacturing,aggregated_2017_to_2022,316992|316998,685,12035,501522000,41671.96
321113,Sawmills,direct,321113,2706,78889,4782810000,60627.08
321114,Wood Preservation,direct,321114,361,10842,619675000,57155.05
321211,Hardwood Veneer and Plywood Manufacturing,direct,321211,207,11602,641749000,55313.65
321212,Softwood Veneer and Plywood Manufacturing,direct,321212,75,12620,794858000,62983.99
321215,Engineered Wood Member Manufacturing,aggregated_2017_to_2022,321213|321214,967,46340,2579794000,55671.0
321219,Reconstituted Wood Product Manufacturing,direct,321219,196,14520,997574000,68703.44
321911,Wood Window and Door Manufacturing,direct,321911,1093,62010,3484625000,56194.57
321912,"Cut Stock, Resawing Lumber, and Planing",direct,321912,739,21623,1145174000,52960.92
321918,Other Millwork (including Flooring),direct,321918,1516,35989,1772106000,49240.21
321920,Wood Container and Pallet Manufacturing,direct,321920,2767,59688,2859086000,47900.52
321991,Manufactured Home (Mobile Home) Manufacturing,direct,321991,245,32042,1739538000,54289.31
321992,Prefabricated Wood Building Manufacturing,direct,321992,752,23628,1295602000,54833.33
321999,All Other Miscellaneous Wood Product Manufacturing,direct,321999,2369,36259,1765610000,48694.39
322110,Pulp Mills,direct,322110,39,9453,941308000,99577.7
322120,Paper Mills,aggregated_2017_to_2022,322121|322122,202,44836,3652747000,81469.07
322130,Paperboard Mills,direct,322130,175,37451,3667370000,97924.49
322211,Corrugated and Solid Fiber Box Manufacturing,direct,322211,1052,80507,5522325000,68594.35
322212,Folding Paperboard Box Manufacturing,direct,322212,567,56240,3732454000,66366.54
322219,Other Paperboard Container Manufacturing,direct,322219,266,19625,1182814000,60270.78
322220,Paper Bag and Coated and Treated Paper Manufacturing,direct,322220,708,57432,3889754000,67727.99
322230,Stationery Product Manufacturing,direct,322230,317,15486,852989000,55081.3
322291,Sanitary Paper Product Manufacturing,direct,322291,132,18655,1232948000,66092.09
322299,All Other Converted Paper Product Manufacturing,direct,322299,364,15638,883451000,56493.86
323111,Commercial Printing (except Screen and Books),direct,323111,15430,282135,16718709000,59257.83
323113,Commercial Screen Printing,direct,323113,5800,69967,2973145000,42493.53
323117,Books Printing,direct,323117,385,19283,1029916000,53410.57
323120,Support Activities for Printing,direct,323120,1036,17651,953081000,53995.86
324110,Petroleum Refineries,direct,324110,153,56784,8812320000,155190.19
324121,Asphalt Paving Mixture and Block Manufacturing,direct,324121,1397,16755,1328549000,79292.69
324122,Asphalt Shingle and Coating Materials Manufacturing,direct,324122,200,11075,941797000,85038.1
324191,Petroleum Lubricating Oil and Grease Manufacturing,direct,324191,284,12325,1101361000,89359.92
324199,All Other Petroleum and Coal Products Manufacturing,direct,324199,77,3675,310631000,84525.44
325110,Petrochemical Manufacturing,direct,325110,71,9971,1455090000,145932.2
325120,Industrial Gas Manufacturing,direct,325120,657,15143,1300138000,85857.36
325130,Synthetic Dye and Pigment Manufacturing,direct,325130,125,7896,776567000,98349.42
325180,Other Basic Inorganic Chemical Manufacturing,direct,325180,647,41788,4416363000,105684.96
325193,Ethyl Alcohol Manufacturing,direct,325193,206,10024,896514000,89436.75
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",direct,325194,69,5856,512280000,87479.51
325199,All Other Basic Organic Chemical Manufacturing,direct,325199,870,73222,8485193000,115883.11
325211,Plastics Material and Resin Manufacturing,direct,325211,1258,87075,8435160000,96872.35
325212,Synthetic Rubber Manufacturing,direct,325212,143,10140,918306000,90562.72
