matrix_code,matrix_title,code_prefix
458300,"Jewelry, luggage, and leather goods retailers",4583
6110P1,"Junior colleges, colleges, universities, and professional schools; private (6112,3)",611
6110Y1,"Junior colleges, colleges, universities, and professional schools; state and local (6112,3)",611
61120L,Junior colleges; local,6112
61120P,Junior colleges; private,6112
61120S,Junior colleges; state,6112
813930,Labor unions and similar labor organizations,81393
237200,Land subdivision,2372
561730,Landscaping services,56173
444200,Lawn and garden equipment and supplies retailers,4442
316000,Leather and allied product manufacturing,316
541100,Legal services,5411
533000,Lessors of nonfinancial intangible assets (except copyrighted works),533
999300,"Local government, excluding education and hospitals",9993
492200,Local messengers and local delivery,4922
113300,Logging,1133
332710,Machine shops,33271
332700,"Machine shops; turned product; and screw, nut, and bolt manufacturing",3327
333000,Machinery manufacturing,333
3330A1,"Machinery manufacturing (3331,2,4,9)",333
423800,"Machinery, equipment, and supplies merchant wholesalers",4238
550000,Management of companies and enterprises,55
551000,Management of companies and enterprises,551
541600,"Management, scientific, and technical consulting services",5416
31-330,Manufacturing,31
334600,Manufacturing and reproducing magnetic and optical media,3346
238140,Masonry contractors,23814
516210,"Media streaming distribution services, social networks, and other media networks and content providers",51621
621500,Medical and diagnostic laboratories,6215
339100,Medical equipment and supplies manufacturing,3391
423000,"Merchant wholesalers, durable goods",423
4230A1,"Merchant wholesalers, durable goods (4232,3,5,6,7,9)",423
424000,"Merchant wholesalers, nondurable goods",424
4240A3,"Merchant wholesalers, nondurable goods (4241,7,9)",424
4240A2,"Merchant wholesalers, nondurable goods (4242,6)",424
4240A1,"Merchant wholesalers, nondurable goods (4244,8)",424
212200,Metal ore mining,2122
333500,Metalworking machinery manufacturing,3335
212000,Mining (except oil and gas),212
210000,"Mining, quarrying, and oil and gas extraction",21
5136A9,"Miscellaneous information services (5131, 516, 519)",5136
339000,Miscellaneous manufacturing,339
4590A1,Miscellaneous store retailers (4594 and 4595 only),459
521-20,"Monetary authorities - central bank, and credit intermediation and related activities",521
521000,Monetary authorities-central bank,521
512000,Motion picture and sound recording industries,512
512130,Motion picture and video exhibition,51213
512100,Motion picture and video industries,5121
423100,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,4231
441000,Motor vehicle and parts dealers,441
336200,Motor vehicle body and trailer manufacturing,3362
336100,Motor vehicle manufacturing,3361
336300,Motor vehicle parts manufacturing,3363
712000,"Museums, historical sites, and similar institutions",712
221200,Natural gas distribution,2212
334500,"Navigational, measuring, electromedical, and control instruments manufacturing",3345
513110,Newspaper publishers,51311
513100,"Newspaper, Periodical, Book, and Directory Publishers",5131
522200,Nondepository credit intermediation,5222
331400,Nonferrous metal (except aluminum) production and processing,3314
212300,Nonmetallic mineral mining and quarrying,2123
327000,Nonmetallic mineral product manufacturing,327
236200,Nonresidential building construction,2362
481200,Nonscheduled air transportation,4812
